"Row.names"	"treatment"	"treatmentOrder"	"aquarium"	"extractionRound"	"Thigmotaxis"	"Speed"	"metabolicRate"	"Pretraining"	"Posttraining"	"rawbiteRateChange"	"biteRateChange"	"scaledThig"	"scaledSpeed"	"scaledBiteRate"	"scaledmetRate"	"Chao1"	"Shannon"
"E5B55_L001"	"control"	"control"	11	"one"	0.368421053	0.337777778	0.4772	19	0	-19	19	-1.11668550700347	-1.14709279176745	1.84187386593354	0.146737035047416	446.666666666667	3.47305833814151
"S1_L001"	"fourug"	"xHigh"	41	"two"	0.683615819	0.393333333	0.4506	10	13	3	-3	0.481529639706798	-0.94866996910982	-0.807483587473959	0.0070217043899855	424.5	4.12822230870717
"S10_L001"	"oneug"	"low"	4	"two"	0.64640884	0.402222222	0.4831	10	-1	-11	11	0.292869281681909	-0.916922316770277	0.878471155603538	0.177726525681958	358.25	3.84122099140039
"S11_L001"	"oneug"	"low"	17	"two"	0.801886792	0.706666667	0.6979	11	0	-11	11	1.08123014509134	0.170434764251333	0.878471155603538	1.30595408302091	427.027777777778	4.24943240459407
"S12_L001"	"oneug"	"low"	16	"two"	0.578947368	0.675555556	0.8111	16	6	-10	10	-0.0491984110594445	0.0593179828487379	0.758045816812288	1.90053210672095	341.136363636364	3.48030069022107
"S13_L001"	"twoug"	"medium"	30	"two"	0.481927711	0.553333333	0.5526	19	10	-9	9	-0.541142764431211	-0.377212234141269	0.637620478021039	0.542772220444793	322.272727272727	3.81688352243855
"S14_L001"	"twoug"	"medium"	27	"two"	0.730769231	0.346666667	0.3836	21	13	-8	8	0.72062402009213	-1.11534513942791	0.517195139229789	-0.344892850273467	366	4.37757753048608
"S15_L001"	"twoug"	"medium"	29	"two"	0.267857143	0.497777778	0.5078	15	10	-5	5	-1.62660122106837	-0.575635056798899	0.155919122856039	0.307462189863858	207.866666666667	3.72284342981598
"S16_L001"	"twoug"	"medium"	33	"two"	0.650406504	0.273333333	0.5062	20	19	-1	1	0.313139691744043	-1.37726327033623	-0.32578223230896	0.299058260200253	330.965517241379	4.2145599950635
"S17_L001"	"twoug"	"medium"	23	"two"	0.319327731	0.793333333	0.4883	13	16	3	-3	-1.36561632466408	0.479974368311557	-0.807483587473959	0.205039297088674	512.5	4.25213061337419
"S18_L001"	"twoug"	"medium"	31	"two"	0.574712644	0.966666667	0.1849	10	17	7	-7	-0.0706708489581675	1.09905358357523	-1.28918494263896	-1.38855586537239	409.363636363636	3.60082129529154
"S19_L001"	"control"	"control"	21	"two"	0	0.111111111	0.1073	27	8	-19	19	-2.98478793377901	-1.95665791749677	1.84187386593354	-1.79614645405723	185	2.15630155956794
"S2_L001"	"fourug"	"xHigh"	38	"two"	0.505263158	0.633333333	0.6381	21	16	-5	5	-0.422818893372214	-0.0914833666569933	0.155919122856039	0.991857211843676	403.935483870968	4.11714032645946
"S20_L001"	"control"	"control"	8	"two"	0.666666667	0.546666667	0.4292	9	6	-3	3	0.395587884410345	-0.401022970717218	-0.0849315547264604	-0.105380854860729	336.25	3.86490644741532
"S21_L001"	"control"	"control"	19	"two"	0.677304965	0.626666667	0.5624	21	11	-10	10	0.449530052342212	-0.115294103232943	0.758045816812288	0.594246289634373	443.48717948718	3.89620112168457
"S22_L001"	"control"	"control"	12	"two"	0.537931034	0.644444444	0.3049	11	2	-9	9	-0.257174346362024	-0.0517988021254675	0.637620478021039	-0.758261140602029	352.621621621622	4.18037678066373
"S23_L001"	"control"	"control"	21	"two"	0.375	0.177777778	0.35	14	15	1	-1	-1.08332653699823	-1.718550526736	-0.56663290989146	-0.521375373209168	338.78125	3.18756116916412
"S25_L001"	"fourug"	"xHigh"	36	"three"	0.358974359	0.78	0.5161	20	16	-4	4	-1.16458557091868	0.432352891588049	0.0354937840647894	0.351057574993808	314.588235294118	3.59949654022868
"S26_L001"	"fourug"	"xHigh"	44	"three"	0.724279835	1.08	0.3062	3	12	9	-9	0.687719124139001	1.50383614465408	-1.53003562022146	-0.75143294775035	394.181818181818	4.05500072249327
"S27_L001"	"fourug"	"xHigh"	37	"three"	0.74566474	0.768888889	0.4787	12	17	5	-5	0.796152647689199	0.392668327056522	-1.04833426505646	0.154615719107045	483.642857142857	4.11435775561781
"S28_L001"	"fourug"	"xHigh"	36	"three"	0.732919255	0.357777778	0.7825	12	8	-4	4	0.731525853793869	-1.07566057489638	0.0354937840647894	1.75031186398401	302.6	3.79621176175969
"S29_L001"	"fourug"	"xHigh"	37	"three"	0.485207101	0.751111111	0.4191	21	23	2	-2	-0.524514408457907	0.329173022377437	-0.68705824868271	-0.158430660862235	463.552631578947	3.97347237576117
"S3_L001"	"fourug"	"xHigh"	41	"two"	0.666666667	0.76	0.4244	15	10	-5	5	0.395587884410345	0.36092067471698	0.155919122856039	-0.130592643851544	534.522727272727	4.08814025038237
"S31_L001"	"fourug"	"xHigh"	46	"three"	0.835777126	0.757777778	0.5142	15	18	3	-3	1.25307324329136	0.352983762524997	-0.807483587473959	0.341077908518277	485.216216216216	4.26093165874106
"S32_L001"	"oneug"	"low"	4	"three"	0.328611898	0.784444444	0.2662	21	15	-6	6	-1.31854036425937	0.448226715972015	0.276344461647289	-0.961531189340471	482.12	4.15496868274766
"S33_L001"	"oneug"	"low"	17	"three"	0.318559557	0.802222222	0.639	17	17	0	0	-1.36951139988278	0.511722020651101	-0.44620757110021	0.996584422279454	323.30303030303	3.98603705295681
"S34_L001"	"oneug"	"low"	18	"three"	0.742021277	0.835555556	0.6745	15	10	-5	5	0.777678236368934	0.630775717817289	0.155919122856039	1.18304661169069	661.357142857143	4.48213917694878
"S35_L001"	"oneug"	"low"	17	"three"	0.90625	0.995555556	0.7757	22	13	-9	9	1.61041044177455	1.20223345278584	0.637620478021039	1.71459516291369	560.137931034483	4.38316016923315
"S36_L001"	"oneug"	"low"	5	"three"	0.77245509	0.371111111	0.1382	11	10	-1	1	0.931994824572522	-1.02803909817287	-0.32578223230896	-1.63384556242886	258.291666666667	3.01905368472345
"S37_L001"	"oneug"	"low"	16	"four"	0.726415094	0.942222222	0.7011	17	9	-8	8	0.698546090967344	1.01174753874858	0.517195139229789	1.32276194234812	526.636363636364	3.60432827815481
"S38_L001"	"twoug"	"medium"	26	"four"	0.637554585	0.508888889	0.7251	9	0	-9	9	0.247973217469234	-0.535950492267373	0.637620478021039	1.44882088730219	447	3.98870871331778
"S39_L001"	"twoug"	"medium"	24	"four"	0.383116883	0.342222222	0.6406	14	12	-2	2	-1.0421693645004	-1.13121896738348	-0.20535689351771	1.00498835194306	369.736842105263	3.70539501042971
"S4_L001"	"fourug"	"xHigh"	43	"two"	0.251552795	0.715555556	0.3161	17	12	-5	5	-1.70927345659285	0.202182416590876	0.155919122856039	-0.699433632956795	644.3	4.25630471772443
"S40_L001"	"twoug"	"medium"	28	"four"	0.52	0.277777778	0.3864	6	8	2	-2	-0.34809479690966	-1.36138944238066	-0.68705824868271	-0.330185973362158	441.333333333333	4.09829357111234
"S41_L001"	"twoug"	"medium"	25	"four"	0.762711864	0.393333333	0.3336	18	10	-8	8	0.882591176254893	-0.94866996910982	0.517195139229789	-0.607515652261117	475.976744186047	4.23811642353291
"S42_L001"	"control"	"control"	10	"four"	0.486111111	0.48	0.3457	22	3	-19	19	-0.519930568145097	-0.639130361477985	1.84187386593354	-0.543960934180106	360.5	4.11163208259243
"S43_L001"	"control"	"control"	6	"four"	0.849462366	0.62	0.1152	10	0	-10	10	1.32246512479984	-0.139104843380502	0.758045816812288	-1.75465205134318	439.222222222222	3.20432707045316
"S44_L001"	"twoug"	"medium"	28	"four"	0.521472393	0.724444444	0.4828	11	17	6	-6	-0.340628934375286	0.233930065358808	-1.16875960384771	0.176150788870033	822.734375	4.34318245482701
"S45_L001"	"control"	"control"	35	"four"	0.458015267	0.873333333	0.3326	14	25	11	-11	-0.662392335547697	0.765703235795833	-1.77088629780396	-0.61276810830087	587.396226415094	4.18282711507248
"S46_L001"	"control"	"control"	8	"four"	0.632967033	1.011111111	0.3464	9	5	-4	4	0.224711742712635	1.25779184170133	0.0354937840647894	-0.540284214952279	270.294117647059	2.78756030426022
"S47_L001"	"control"	"control"	34	"four"	0.431818182	0.488888889	0.3058	13	10	-3	3	-0.795226324442857	-0.607382709138442	-0.0849315547264604	-0.753533930166251	588.116279069767	4.03439382576563
"S48_L001"	"fourug"	"xHigh"	45	"four"	0.5907173	0.526666667	0.4003	10	25	15	-15	0.010481779182515	-0.472455187588287	-2.25258765296896	-0.257176834409591	501.042553191489	3.92279639548196
"S49_L001"	"fourug"	"xHigh"	39	"four"	0.769230769	1.155555556	0.4292	2	24	22	-22	0.915645699472976	1.77369118775439	-3.09556502450771	-0.105380854860729	580.835820895522	4.22625500376951
"S5_L001"	"fourug"	"xHigh"	37	"two"	0.573459716	0.468888889	0.5116	21	17	-4	4	-0.0770239002246895	-0.678814926009511	0.0354937840647894	0.32742152281492	555.3	4.16032225996808
"S50_L001"	"fourug"	"xHigh"	48	"four"	0.589442815	0.757777778	0.6347	11	23	12	-12	0.00401942177377832	0.352983762524997	-1.89131163659521	0.973998861308516	518.25	3.87132160254091
"S51_L001"	"fourug"	"xHigh"	49	"four"	0.710182768	0.851111111	0.4121	17	18	1	-1	0.616239047583448	0.686334106732781	-0.56663290989146	-0.195197853140506	828.057692307692	4.05607444962169
"S52_L001"	"fourug"	"xHigh"	49	"four"	0.462719298	1.013333333	0.4348	7	11	4	-4	-0.638540246599003	1.26572875389332	-0.927908926265209	-0.0759671010381121	999.35	4.14174651033829
"S53_L001"	"fourug"	"xHigh"	45	"four"	0.862068966	0.644444444	0.5162	19	23	4	-4	1.38638769345225	-0.0517988021254675	-0.927908926265209	0.351582820597783	796.7	4.20979025772261
"S54_L001"	"fourug"	"xHigh"	38	"four"	0.63973064	0.66	0.489	22	13	-9	9	0.259007043015292	0.00375959036163537	0.637620478021039	0.208716016316501	404.121951219512	3.75175523555991
"S55_L001"	"control"	"control"	14	"four"	0.622425629	0.971111111	0.6227	24	3	-21	21	0.171260881982314	1.11492740795919	2.08272454351604	0.91096938883148	530.04347826087	3.46768747079864
"S56_L001"	"oneug"	"low"	5	"four"	0.508960573	0.62	0.1208	15	-4	-19	19	-0.404070914997872	-0.139104843380502	1.84187386593354	-1.72523829752056	418.02380952381	3.64477712655188
"S57_L001"	"oneug"	"low"	3	"four"	0.235294118	0.566666667	0.2393	9	0	-9	9	-1.79171411440146	-0.329590753846149	0.637620478021039	-1.10282225680983	767.727272727273	4.12143182147049
"S58_L001"	"oneug"	"low"	1	"four"	0.3	0.133333333	0.1201	11	4	-7	7	-1.46361881635439	-1.87728878843372	0.396769800438539	-1.72891501674839	722.448275862069	4.01170937681584
"S59_L001"	"oneug"	"low"	18	"four"	0.777439024	0.728888889	0.2955	11	15	4	-4	0.957266179519463	0.249803893314385	-0.927908926265209	-0.807634227375707	951	4.50186266743774
"S6_L001"	"fourug"	"xHigh"	45	"two"	0.581196581	0.26	0.2657	9	14	5	-5	-0.037793633212411	-1.42488474705974	-1.04833426505646	-0.964157417360347	742.28813559322	4.31307268397923
"S61_L001"	"fourug"	"xHigh"	38	"five"	0.876106195	0.753333333	0.7218	24	14	-10	10	1.45756435761565	0.33710993456942	0.758045816812288	1.431487782371	672	3.99433379208789
"S62_L001"	"fourug"	"xHigh"	48	"five"	0.148148148	0.42	0.5145	22	15	-7	7	-2.2335933086415	-0.853427012091191	0.396769800438539	0.342653645330203	615.467532467532	4.07942951843243
"S63_L001"	"fourug"	"xHigh"	46	"five"	0.431818182	0.391111111	0.4078	25	18	-7	7	-0.795226324442857	-0.956606881301803	0.396769800438539	-0.217783414111444	622.238095238095	4.32947588189438
"S64_L001"	"fourug"	"xHigh"	49	"five"	0.779816514	0.726666667	0.606	15	9	-6	6	0.969321394069416	0.241866981122402	0.276344461647289	0.823253372967604	679.608695652174	3.83691044300336
"S65_L001"	"fourug"	"xHigh"	46	"five"	0.74251497	0.371111111	0.5136	1	0	-1	1	0.780181538185897	-1.02803909817287	-0.32578223230896	0.337926434894425	1216.51612903226	4.42097827827425
"S66_L001"	"fourug"	"xHigh"	47	"five"	0.695364238	1.006666667	0.8463	24	23	-1	1	0.541100746911347	1.24191801731737	-0.32578223230896	2.08541855932025	348.020833333333	3.80330062924901
